"","text","emotion","polarity"
"1","rt engagecuba real cuban coffee will finally be available in usnespresso","unknown","positive"
"2","rt engagecuba real cuban coffee will finally be available in usnespresso","unknown","positive"
"3","rt engagecuba real cuban coffee will finally be available in usnespresso","unknown","positive"
"4","rt engagecuba real cuban coffee will finally be available in usnespresso","unknown","positive"
"5","rt engagecuba real cuban coffee will finally be available in usnespresso","unknown","positive"
"6","topcars nespresso quite a tame spec but still lovely","unknown","positive"
"7","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"8","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"9","good client just popped in for a quick nespresso with us and to look at a potential addition to his stable","joy","positive"
"10","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"11","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"12","wee mugs by camphill kyle pottery snapped up perfect size for nespresso coffee machineswhen you want a lungo","unknown","neutral"
"13","nespresso compatible capsulesvariety packpodsfit to all nespresso original line machine by rosso","joy","positive"
"14","clairemcmack we can’t wait to know what you think of cafecito de cuba claire","unknown","positive"
"15","bennyarkhive nespresso long shot","unknown","negative"
"16","rt ismiseconchur sometimes i start to think were not that middle class and then we get a delivery ofnespresso coffee pods","sadness","neutral"
"17","holmesprice how about nespresso","unknown","positive"
"18","winstonawillow a peaceful day deserves more than one nespressomoment thanks for sharing yours charlotte","unknown","positive"
"19","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"20","yodelonline also nespresso have resent via ups and they delivered with no problems suggest driver has it wrong and doesnt know area","anger","negative"
"21","rt alijsheridan former nespresso ceo says coffee pods are killing the environmentvia mic","unknown","positive"
"22","former nespresso ceo says coffee pods are killing the environmentvia mic","unknown","positive"
"23","do i know anyone who can get me free nespresso","sadness","neutral"
"24","wedding gift wrap nespresso boxes","unknown","positive"
