"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @NatbyNature: Getting ready to hit the interview chair... But first let's take a selfie &amp; drink lots of Starbucks! <U+2615><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B3><U+00B7><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>@Glit_Glam https:…",FALSE,0,NA,2016-08-23 14:56:54,FALSE,NA,"768099703607132160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","irina_kiyoko",27,TRUE,FALSE,NA,NA
"2","I'm ready for all of these freshman to get over Starbucks bc I'm tired of coming in here and the line being 10 years long every day <ed><U+00A0><U+00BD><ed><U+00B8><U+0092><ed><U+00A0><U+00BD><ed><U+00B9><U+0083>",FALSE,0,NA,2016-08-23 14:56:53,FALSE,NA,"768099697802276864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","syddney_anne",0,FALSE,FALSE,NA,NA
"3","A thought to ponder - what can healthcare learn from Starbucks, Amazon or Disney ?",FALSE,0,NA,2016-08-23 14:56:51,FALSE,NA,"768099691158384641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhanhasanTX",0,FALSE,FALSE,NA,NA
"4","@krischin_snow I saw you in the hub like 40 mins ago but I was in Starbucks line",FALSE,0,"krischin_snow",2016-08-23 14:56:50,FALSE,"768099509704556544","768099687131914241","309205847","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","idrcnia",0,FALSE,FALSE,NA,NA
"5","Smh Im wearing leggings, Pink clothing, and holding Starbucks",FALSE,0,NA,2016-08-23 14:56:49,FALSE,NA,"768099683218575360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fangirlingfever",0,FALSE,FALSE,NA,NA
"6","#KCAArgentina #KCAColombia #BellaAndTheBulldogs #MPN #BellaEOsBulldogs 
But not Starbucks Coffee :(",FALSE,0,NA,2016-08-23 14:56:48,FALSE,NA,"768099679175217152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ricardotona9",0,FALSE,FALSE,NA,NA
"7","Because no, I never give my full name. I don't want to fight the poor Starbucks guys over this...",FALSE,0,NA,2016-08-23 14:56:48,FALSE,NA,"768099677040508928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anamaterasu",0,FALSE,FALSE,NA,NA
"8","Okay I'm fucking done with this Starbucks",FALSE,0,NA,2016-08-23 14:56:45,FALSE,NA,"768099665988444160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Katinah",0,FALSE,FALSE,NA,NA
"9","US Judge: Iced drinks should be expected to contain ice. Class action against Starbucks nuked. ice https://t.co/EIKcUoTp4J",FALSE,0,NA,2016-08-23 14:56:41,FALSE,NA,"768099648011730944",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","wbranch99",0,FALSE,FALSE,NA,NA
"10","Don't understand how some students can walk around and have educational conversations at 9 am and I can't even order my Starbucks right <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>",FALSE,0,NA,2016-08-23 14:56:41,FALSE,NA,"768099646891814912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","madelienerenee",0,FALSE,FALSE,NA,NA
